Column1,Column2
"Behrendorff to Dhoni, 1 run, yorker length at the stumps, squeezes it into the on-side to win the game. Would've been gone with a direct-hit but there wasn't",49.2
"Behrendorff to Dhoni, SIX, not quite the distance as he had managed on that epic Clint McKay six in 2012 at this very venue, but just like that six, this one will seal the game too. Slower ball angled away from off, Dhoni launches this, absolutely launches this over long-on. Brings up his fifty with that",49.1
"Stoinis to Dhoni, 1 run, wanted to unleash the long handle on this full ball, but didn't get the elevation he was after. Full on off, tonks it down to long-on. Goes on the bounce to the fielder",48.6
"Stoinis to Karthik, 3 runs, brings out the paddle-scoop and guides it quite fine. But Behrendorff is still able to slide across to keep it inside the boundary. He won't be able to stop Dhoni's charge for the third though. Dhoni is quite clearly struggling out there. But he powers on..",48.5
"Stoinis to Dhoni, 1 run, back of a length delivery just outside off, taps it in front of extra cover",48.4
"Stoinis to Karthik, 1 run, full at the stumps, the bat comes down dead straight from Karthik as he punches to long-on",48.3
"Stoinis to Karthik, 2 runs, happy to do it with proper cricketing shots. Fuller than a good length outside off, punches it sweetly through extra cover",48.2
"Stoinis to Dhoni, 1 run, short of length on off, punches it down to long-off. Will Karthik be the one to take the risk?",48.1
"Behrendorff to Karthik, 2 runs, walks down at Behrendorff and flicks this length ball in between long-on and deep midwicket. Misfield from Maxwell as he charges in for the one-handed pick up. Nine from the over again. India still happy to knock the singles and twos",47.6
"Behrendorff to Dhoni, 3 runs, short of length on leg stump, off-pace again from Behrendorff but Dhoni is able to work him fine enough that even the third run is on while short fine leg gives chase",47.5
"Behrendorff to Karthik, 1 run, slower ball that's pitched up outside off, driven through the covers. Only a single again",47.4
"Behrendorff to Dhoni, 1 run, slower short of length delivery on off, clips it to deep midwicket",47.3
"Behrendorff to Karthik, 1 run, full toss around off, Karthik biffs it down to long-on",47.2
"Behrendorff to Dhoni, 1 run, short of length on off, Dhoni with the short-arm pull to deep midwicket",47.1
"Stoinis to Karthik, 2 runs, good length ball on off, works it wide of long-on and calls two straightaway. The misfield from Shaun Marsh helps his cause further",46.6
"Stoinis to Karthik, no run, length ball outside off, pushes it to cover",46.5
"Stoinis to Karthik, FOUR, slower short ball on leg stump which just sits up for Karthik. And his timing has been on point so far. Whacks the pull behind square. Nice and brisk knock from him so far",46.4
"Stoinis to Karthik, 2 runs, low full toss that Karthik drives through extra cover for a comfortable two",46.3
"Stoinis to Dhoni, 1 run, full ball outside off, pushes it through the covers",46.2
"Stoinis to Dhoni, no run, slower ball on off, Dhoni pats it back to Stoinis",46.1
"J Richardson to Dhoni, 1 run, short of length delivery just outside off, shuffles back and across and tucks it through midwicket",45.6
"J Richardson to Dhoni, wide, back of a length delivery slipping down the leg-side, Dhoni thought about the leg-glance but then lifted his arms to collect the wide",45.6
"J Richardson to Karthik, 1 run, nudges it into the on-side for a single",45.5
"J Richardson to Karthik, FOUR, swivels across to a short ball and finds himself in an excellent position for the pull. He was onto the back foot so quickly. And then the timing on it was just sublime as he dispatched it behind square",45.4
"J Richardson to Dhoni, 1 run, back of a length on middle and off, clipped behind square",45.3
"J Richardson to Karthik, 1 run, that's a sweetly timed flick shot from Karthik as he picks it away from middle stump to deep midwicket",45.2
"J Richardson to Dhoni, leg byes, 1 run, back of a length on leg, deflects off Dhoni's thigh pad down to fine leg",45.1
"Lyon to Dhoni, 1 run, tossed up on off, knocks it calmly down to long-on",44.6
"Lyon to Dhoni, 2 runs, slightly short across off from round the wicket, Dhoni hops back and punches it wide of long-off",44.5
"Lyon to Dhoni, no run, Lyon pulls it back in flight, Dhoni defends down the pitch",44.4
"Lyon to Dhoni, SIX, Dhoni steps out, and then steps it up. Close enough to the pitch of this off-break, unleashes a fierce swipe over midwicket",44.3
"Lyon to Dhoni, 2 runs, bad misfield there. Could've been a dot ball. Uses his feet and flicks it to the left of square leg who dived over the ball",44.2
"Lyon to Dhoni, no run, darted in on leg, back of a length, Dhoni awkwardly tries to paddle it fine but is struck on the thigh pad",44.1
