Column1,Column2
"Southee to Rayudu, 1 run, slower ball, tapped towards backward point, Dhawan charges to the striker's end and that's the victory for India",34.5
"Southee to Rayudu, no run, opens the face of the bat and guides it to backward point",34.4
"Southee to Rayudu, no run, good length delivery on the off stump, Rayudu defends",34.3
"Southee to Rayudu, FOUR, finally Rayudu connects with an attempted big hit, steps down the pitch to this full ball outside off stump, enough width to free the arms and go hard on the lofted drive, still not exactly from the middle of the bat, but good enough",34.2
"Southee to Dhawan, 1 run, neatly driven off the front foot and wide of long-off, Rayudu has an opportunity to get the timing right. Can he finish off well?",34.1
"Doug Bracewell to Rayudu, no run, Rayudu can't hit it in the gap after advancing to this good length delivery, pushed towards cover",33.6
"Doug Bracewell to Rayudu, no run, short delivery on the off stump, Rayudu thinks about the pull and withdraws the bat late",33.5
"Doug Bracewell to Rayudu, no run, fullish delivery around the off stump, Rayudu defends",33.4
"Doug Bracewell to Rayudu, no run, slower delivery outside off stump, Rayudu tries to cut and chops it into the off-side",33.3
"Doug Bracewell to Rayudu, wide, short and down the leg-side, Rayudu tries to help it on its way and misses",33.3
"Doug Bracewell to Rayudu, no run, short of length delivery on the off stump, Rayudu goes back and knocks it towards mid-wicket, loud call for no",33.2
"Doug Bracewell to Dhawan, 1 run, worked away to deep mid-wicket",33.1
"Lockie Ferguson to Dhawan, 1 run, shortish delivery on the stumps, Dhawan tries to defend, the ball rolls to third man off the handle",32.6
"Lockie Ferguson to Dhawan, no run, full delivery around the off stump, Dhawan tries to drive and gets an inside edge onto pad",32.5
"Lockie Ferguson to Rayudu, 1 run, tucked to backward square leg, they are taking off for a quick single, direct-hit but Dhawan was home",32.4
"Lockie Ferguson to Rayudu, no run, Rayudu jumps down the pitch and tries to swing hard, the ball almost takes out the sticks",32.3
"Lockie Ferguson to Dhawan, 1 run, shortish delivery outside off stump, Dhawan goes back and guides it to third man",32.2
"Lockie Ferguson to Dhawan, no run, shortish delivery around the off stump, Dhawan defends off the back foot",32.1
"Doug Bracewell to Rayudu, no run, on a good length and at the stumps, Rayudu opens himself slightly and defends it back at the bowler",31.6
"Doug Bracewell to Dhawan, 1 run, short of a length and on Dhawan's hips, nudged past square leg for a single",31.5
"Doug Bracewell to Dhawan, 2 runs, short and well outside off, Dhawan swivels across, rolls his wrists and pulls it in front of square on the on-side for a couple of runs",31.4
"Doug Bracewell to Dhawan, no run, the slower ball from Bracewell, Dhawan leans forward and finds the fielder at backward point with the dab",31.3
"Doug Bracewell to Dhawan, no run, back of a length and just outside off, Dhawan plays with an open face and finds backward point",31.2
"Doug Bracewell to Dhawan, no run, short of a length and at the stumps, Dhawan brought his bat down at an angle, clipped the inside edge, brushed the right thigh and dropped wide of the leg-stump, Rayudu wanted a single and is sent abck",31.1
"Lockie Ferguson to Dhawan, 1 run, slower delivery outside off stump, Dhawan goes back and punches it to deep cover",30.6
"Lockie Ferguson to Rayudu, 1 run, ""yeah, yeah, yeah, yeah,"" is the shout from Rayudu immediately after pushing this good length delivery towards cover",30.5
"Lockie Ferguson to Rayudu, no run, this time he connects with the drive, but only manages to hit it to the left of the man at cover",30.4
"Lockie Ferguson to Rayudu, no run, short of length delivery outside off stump, Rayudu tries to drive and gets beaten, feet not really there",30.3
"Lockie Ferguson to Rayudu, no run, front foot stride and then a firm push to cover, can't hit the gap, Dhawan rushes back as Rayudu says no for a quick single and rightly so",30.2
"Lockie Ferguson to Dhawan, 1 run, very full and on the leg stump, Dhawan flicks it towards deep square leg",30.1
"Doug Bracewell to Rayudu, no run, short of length delivery around the off stump, Rayudu defends off the back foot",29.6
"Doug Bracewell to Rayudu, no run, fullish and outside off stump, defended",29.5
"Doug Bracewell to Rayudu, no run, full and outside off stump, Rayudu lets it pass",29.4
"Doug Bracewell to Rayudu, no run, short of length delivery on the off stump, Rayudu defends off the back foot",29.3
"Doug Bracewell to Rayudu, 2 runs, shortish and on the leg stump, knocked towards deep mid-wicket",29.2
"Doug Bracewell to Dhawan, 1 run, slapped away to sweeper cover",29.1
