Column1,Column2
"Bhuvneshwar to Boult, out Caught by Shami!! Short ball outside off, climbs on Boult as he slashes at it and flies off the top-edge down to third man. Shami dawdles in and cups it comfortably. India seal the series 4-1. Boult c Shami b Bhuvneshwar 1(3)",44.1
"Hardik Pandya to Matt Henry, no run, good response from Pandya, getting it right in the blockhole outside off, Henry doesn't manage to lay a bat on it",43.6
"Hardik Pandya to Matt Henry, SIX, now this is a nothing ball from Pandya. Slower one dug into the pitch, sits up for Henry who hacks it over square leg, even more convincing than the previous one if that's even possible",43.5
"Hardik Pandya to Matt Henry, SIX, short ball outside off, Henry bulldozes this pull over cow corner, much like Pandya had done himself earlier in the day. Just brute power",43.4
"Hardik Pandya to Boult, 1 run, yorker at the stumps, jammed down to long-on",43.3
"Hardik Pandya to Boult, no run, back of a length delivery outside off, Boult wafts at it flat-footed and is beaten on the edge",43.2
"Hardik Pandya to Santner, out Caught by Shami!! Santner has flicked a leg-stump half-volley straight into the hands of short fine leg. He can't believe it. Not that Pandya, with a sheepish smile, can believe it either. Should be game over for New Zealand. Santner c Shami b Hardik Pandya 22(37)",43.1
"Chahal to Matt Henry, no run, flighted up outside off, driven to cover",42.6
"Chahal to Matt Henry, no run, a slip was added before this delivery, which was a bluff for Chahal to slip the wrong 'un in. Henry doesn't fall for it and keeps it out",42.5
"Chahal to Santner, 1 run, flighted googly outside off, Santner stretches out and drives to long-off",42.4
"Chahal to Santner, 2 runs, flat on leg, turning back into Santner who whips it wide of deep midwicket. Placement is good enough for two",42.3
"Chahal to Santner, no run, this time he beats him for bounce. Extra lift with the googly, Santner misses out on the cut again",42.2
"Chahal to Santner, no run, sharply skids through from a length outside off, beats Santner for pace on the cut",42.1
"Shami to Matt Henry, FOUR, clears the front leg to a slower ball and tonks it over mid-off. Wow, not the kind of treatment Shami was expecting from a No.10",41.6
"Shami to Matt Henry, no run, cracking yorker that bends in on middle and leg, Henry's able to dig it out",41.5
"Shami to Santner, 1 run, full toss on off, driven down to long-on",41.4
"Shami to Santner, no run, full toss outside off, it travels rapidly off Santner's bat as he slashes at it, but it's straight to backward point. Unlucky with that",41.3
"Shami to Matt Henry, 1 run, short of length delivery outside off, slapped to sweeper cover",41.2
"Shami to Santner, 1 run, yorker length outside off, squeezed down to long-on",41.1
"Chahal to Matt Henry, no run, snakes into off stump with a wrong 'un, Henry picks it and defends",40.6
"Chahal to Todd Astle, out Lbw!! Beaten on the sweep shot by this googly. It's given out onfield, but was it turning too much? Astle might have a good shot with this review. Or maybe not. The umpire is spot on. It would've crashed into the top of leg stump. Todd Astle lbw b Chahal 10(16) [4s-1]",40.5
"Chahal to Santner, 1 run, flighted googly on leg stump, Santner sweeps it to deep square leg. Wanted to go big with it, but didn't get hold",40.4
"Chahal to Todd Astle, 1 run, sliding in on leg stump, clipped through square leg",40.3
"Chahal to Santner, 1 run, back of a length on middle, punched down to long-off. ""Aage, aage (keep it fuller)"" is the call from Dhoni",40.2
"Chahal to Santner, 2 runs, length ball skidding across off, Santner cracks it off the back foot through extra cover",40.1
"Shami to Santner, 1 run, slower off-cutter outside off, Santner was looking to drive over the cover region but all he manages is a thick outside edge that runs down to third man",39.6
"Shami to Santner, no run, cannoned into the blockhole outside off, jammed out to backward point",39.5
"Shami to Santner, no run, slower ball that's overpitched outside off, Santner drills it straight to mid-off",39.4
"Shami to Santner, no run, back of a length delivery just outside off, a cutter at 126kph, Santner pats it to backward point",39.3
"Shami to Todd Astle, 1 run, good length delivery outside off, punched to sweeper cover",39.2
"Shami to Todd Astle, 2 runs, good length ball outside off, driven crisply on the up through extra cover. Actually the timing may have not been there as he got it close to the toe-end",39.1
"Kedar Jadhav to Santner, no run, fired in close to the blockhole at 90kph, Santner jams it to cover",38.6
"Kedar Jadhav to Todd Astle, 1 run, nice use of the feet, gets to the pitch of this flighted ball and pushes down to long-off",38.5
"Kedar Jadhav to Todd Astle, no run, short ball outside off, another opportunity for Astle to look for the gap. But this time he cuts it to Chahal at cover-point",38.4
"Kedar Jadhav to Todd Astle, FOUR, length ball sliding through outside off, Astle slaps it through the covers. The field was up in the ring on that side, and he pierced it through the gap",38.3
"Kedar Jadhav to Todd Astle, no run, slightly short outside off, Astle cuts it to point",38.2
"Kedar Jadhav to Santner, 1 run, sliding in on middle with the round arm, Santner makes some room and punches it to long-off",38.1
"Bhuvneshwar to Todd Astle, no run, back of a length delivery on middle, blunted out by Astle",37.6
"Bhuvneshwar to Todd Astle, no run, good length ball at the stumps, moves his weight forward in defence",37.5
"Bhuvneshwar to Todd Astle, no run, good length ball skidding through at middle, blocked to short cover",37.4
"Bhuvneshwar to Todd Astle, no run, back of a length on off, patted to backward point",37.3
"Bhuvneshwar to Todd Astle, no run, length ball at the stumps, Astle hangs back to it and turns it to short midwicket",37.2
"Bhuvneshwar to Santner, 1 run, back of a length delivery outside off, dabs it down to third man",37.1
"Kedar Jadhav to Todd Astle, no run, flighted delivery wide outside off stump, Astle drives it to cover",36.6
"Kedar Jadhav to Santner, 1 run, flatter delivery outside off stump, Santner punches it to long-off",36.5
"Kedar Jadhav to Todd Astle, 1 run, punched down to long-on",36.4
"Kedar Jadhav to Todd Astle, no run, defended from the crease",36.3
"Kedar Jadhav to Neesham, out Neesham Run Out!! What on earth was Neesham doing? Presence of mind from MSD and he's run-out. He's celebrating. Firstly this was a huge appeal for LBW, umpire Shaun George shook his head, looked like an inside edge onto thigh pad or even if it didn't take the edge impact was outside off stump. Dhoni was busy appealing, so the ball hit his left leg and rolled back, Neesham was wandering out of the crease for some reason, probably more keen on looking at the umpire than realising he was outside the crease, Dhoni runs back and fires a direct-hit to send back the danger man. Neesham looked like finishing this in 7-8 overs. In fact he was asking Santner for a run when the ball was just a couple of yards away from Dhoni. Didn't know where the ball was. Neesham run out (Dhoni) 44(32) [4s-4 6s-2]",36.2
"Kedar Jadhav to Santner, 1 run, flatter and short, Santner punches it to long-on",36.1
"Bhuvneshwar to Neesham, SIX, change of angle from Bhuvneshwar, but it doesn't work. Bowls a juicy length ball on the stumps and Neesham muscles this over square leg, doesn't bother to run. 13 off the over",35.6
"Bhuvneshwar to Neesham, FOUR, the audacity he has to flick a pace bowler stylishly with a strong bottom hand grip! Wow, that's a great shot, Bhuvi bowls full and on the stumps, Neesham whips the ball literally for a one bounce four through mid-wicket",35.5
"Bhuvneshwar to Neesham, no run, tries to repeat the steer past point, but picks out the man in the ring",35.4
"Bhuvneshwar to Neesham, 2 runs, so easily guided with the angle to deep backward point",35.3
"Bhuvneshwar to Santner, 1 run, fullish and outside off stump, Santner guides it to backward point",35.2
"Bhuvneshwar to Santner, no run, short of length delivery just outside off stump, Santner defends off the front foot",35.1
"Shami to Neesham, no run, short of length delivery outside off stump, Neesham defends off the back foot",34.6
"Shami to Neesham, FOUR, brilliant batting, slower delivery outside off stump, Neesham picked it, delayed the guide, rolled his wrists to keep it along the ground and placed it to the left of backward point",34.5
"Shami to Neesham, FOUR, pulled to deep mid-wicket, oh Vijay Shankar fumbles, dives and lets this go right through his hands, won't please the bowler. Did the hard work of getting there, but didn't bend enough",34.4
"Shami to Santner, 1 run, nice back foot punch to deep cover",34.3
"Shami to Santner, wide, the short ball attempted, way too high and down the leg-side",34.3
"Shami to Santner, no run, slower delivery outside off stump, Santner tries to defend, gets beaten",34.2
"Shami to Santner, no run, beaten, this one seemed to have swung away late, excellent take from Dhoni, who was down on one knee, curved late and went awkwardly to the keeper",34.1
"Hardik Pandya to Santner, 1 run, short of length delivery on the off stump, Santner defends and gets an inside edge to fine leg",33.6
"Hardik Pandya to Santner, 2 runs, poor line, down the leg-side, Santner flicks it to long leg, Dhoni sends the ball between his legs after collecting but Santner was home",33.5
"Hardik Pandya to Santner, no run, back of a length and outside off stump, defended",33.4
"Hardik Pandya to Neesham, 1 run, short of length delivery just outside off stump, Neesham dabs it towards backward point",33.3
"Hardik Pandya to Neesham, no run, now the off-cutting slower ball bouncer, Neesham lets it pass",33.2
"Hardik Pandya to Neesham, SIX, nothing full ball, another knuckle ball attempted, the key to bowling knuckle ball is to change the grip last minute but Hardik Pandya showed the grip way too early for the batsman to read it from the hand, Neesham waited and slogged easily over mid-wicket",33.1
"Hardik Pandya to Neesham, wide, Hardik Pandya tries the knuckle ball but it swings and goes down the leg-side",33.1
"Chahal to Santner, no run, short delivery outside off stump, Santner tries to punch off the back foot, gets a thick edge that rolls to short third man",32.6
"Chahal to Neesham, 1 run, googly on the leg stump, Neesham turns it to square leg",32.5
"Chahal to Santner, 1 run, shortish delivery on the leg stump, Santner punches it to long-on",32.4
"Chahal to Santner, no run, ""nice bowling"" says Dhoni as Chahal tosses the ball up and forces Santner to defend off the front foot",32.3
"Chahal to Santner, no run, flighted delivery on the off stump, Santner defends off the front foot",32.2
"Chahal to Neesham, 1 run, flighted delivery on the stumps, Neesham goes back and flicks it to mid-wicket",32.1
"Hardik Pandya to Santner, no run, the attempted short ball isn't as short as it should have been, Santner blocks off the back foot",31.6
"Hardik Pandya to Santner, 2 runs, edged but there is no one at slip, Hardik Pandya probably got this to tail away late, Santner tries to drive, without moving his feet, got away with the edge",31.5
"Hardik Pandya to Santner, no run, short of length delivery on the off stump, Santner defends off the back foot",31.4
"Hardik Pandya to Santner, no run, decent short ball, Santner probably spotted that late, managed to duck under it late",31.3
"Hardik Pandya to Santner, no run, short delivery outside off stump, Santner lets it pass",31.2
"Hardik Pandya to Neesham, 1 run, short of length delivery on the off stump, Neesham slogs it to deep mid-wicket",31.1
"Chahal to de Grandhomme, out Lbw!! Easy decision. Don't review that. In fact he's not even waiting to talk to Neesham. CDG was always vulnerable to the ball that doesn't turn away from him with that big bat-pad gap in his defence, this was the slider that came in with the angle and it struck right in front of middle and off stump. de Grandhomme lbw b Chahal 11(8) [4s-2]",30.6
"Chahal to Neesham, 1 run, quicker delivery just outside off stump, Neesham rocks back and cuts to cover",30.5
"Chahal to Neesham, 2 runs, this is down the leg-side, Neesham glances it to fine leg",30.4
"Chahal to Neesham, no run, another googly on the leg stump, Neesham turns it to mid-wicket",30.3
"Chahal to Neesham, no run, leg stump googly, Neesham flicks it to backward square leg",30.2
"Chahal to de Grandhomme, 1 run, flatter delivery on the stumps, de Grandhomme punches it to long-on",30.1
"Hardik Pandya to de Grandhomme, 1 run, short of length delivery outside off stump, de Grandhomme runs it down to deep backward point",29.6
"Hardik Pandya to de Grandhomme, FOUR, this is a better shot. Fullish delivery on the leg stump, de Grandhomme flicks over mid-wicket, couple of bounces and into the fence",29.5
"Hardik Pandya to de Grandhomme, FOUR, he's lofted this in the air knowing long-on is inside the ring, mishit actually but timed it decently enough to get the boundary",29.4
"Hardik Pandya to de Grandhomme, no run, short of length delivery on the off stump, de Grandhomme defends from the crease",29.3
"Hardik Pandya to Neesham, 1 run, oh this one skids off the pitch and huries Neesham on the defence, played just in front of the sticks to third man",29.2
"Hardik Pandya to Neesham, no run, short of length delivery outside off stump, Neesham defends it to backward point",29.1
"Chahal to de Grandhomme, no run, almost bowled! CDG had no clue about this ball spinning back into him, lunged forward in his defence, ball beat the edge this time and almost shaved the off stump",28.6
"Chahal to Neesham, 1 run, very full and outside off stump, Neesham drives it to long-off",28.5
"Chahal to de Grandhomme, 1 run, oh almost through the gate with this googly, lucky edge rolls into the on-side",28.4
"Chahal to Latham, out Lbw!! That looks plumb. So this is what Dhoni wanted Chahal to do consistently, bowl fuller and make him play the front foot shots. This time Latham got across the line to play the sweep shot, missed it completely and the ball landed in line with leg stump and luckily for Chahal didn't turn as much to miss the leg stump. Latham discussed with Neesham about the review and I reckon it was a good call not to review. That would not be umpire's call. So India have got both the set batsmen! Latham lbw b Chahal 37(49) [4s-3]",28.3
