Column1,Column2
"Pradeep to Iftikhar Ahmed, FOUR, Pakistan win by 5 wickets. This is their highest successful chase in the last three years. Only the second time they have chased over 275 in the last five years. Another bad delivery from Pradeep and that is enough for Iftikhar to seal the game. Full and down leg, Iftikhar stays put in the crease and glances it fine of short fine leg",48.2
"Pradeep to Iftikhar Ahmed, SIX, oh no! Pradeep chose a poor time to deliver a full toss. It was just above the knee and at a perfect height for Iftikhar, who helps it all the way over fine leg for a maximum",48.1
"Jayasuriya to Iftikhar Ahmed, 1 run, slower and outside off, Iftikhar drops it into the off-side and retains strike",47.6
"Jayasuriya to Riaz, 1 run, flighted delivery and Riaz slog sweeps it on the bounce to deep mid-wicket",47.5
"Jayasuriya to Haris Sohail, out Bowled!! Bowled 'im! Sohail cannot believe it. He stands there in disbelief and asks his partner whether he's really bowled. Nothing but a straight ball to which Sohail makes room to carve it into the off-side, misses and the ball hits the top of off-stump. Jayasuriya generally darts it in and he defeated the batsman because of his pace there. Sohail has taken Pakistan close to victory and now it is up to others to take them over the line. Haris Sohail b Jayasuriya 56(50) [4s-3 6s-1]",47.4
"Jayasuriya to Iftikhar Ahmed, 1 run, goes back and across to nurdle the off-break backward of square",47.3
"Jayasuriya to Iftikhar Ahmed, no run, slower and turning in, Iftikhar defends it adjacent to the wicket on the off-side",47.2
"Jayasuriya to Haris Sohail, 1 run, drifting in from round the wicket and Sohail eases it to long-on",47.1
"Pradeep to Iftikhar Ahmed, no run, very full and close to yorker length, Iftikhar squeezes it back to Pradeep",46.6
"Pradeep to Haris Sohail, 1 run, slower delivery and Sohail wrists it away to long-on",46.5
"Pradeep to Haris Sohail, FOUR, that's superbly played by Sohail. He was backing away and had to really reach out to this low full toss, he bends down and gets there, opens the bat face and places it behind point for a boundary",46.4
"Pradeep to Iftikhar Ahmed, 1 run, fuller than a good length and Iftikhar drives on the rise to sweeper cover",46.3
"Pradeep to Iftikhar Ahmed, no run, slower ball now outside off, Iftikhar steers it straight to short third man",46.2
"Pradeep to Iftikhar Ahmed, no run, starts with a yorker right at the stumps, jammed out to the right of Pradeep",46.1
"Lahiru Kumara to Iftikhar Ahmed, 1 run, very full delivery close to yorker length, Iftikhar squeezes it past extra cover and retains strike",45.6
"Lahiru Kumara to Iftikhar Ahmed, FOUR, Kumara is all over the place. This is the match-changing over. Full and plenty of room outside off, Iftikhar brings those fast hands into play and nails the square drive, no chance for deep point or deep extra cover to stop that",45.5
"Lahiru Kumara to Iftikhar Ahmed, FOUR, this is poor from Kumara. He bangs it in and does not have the pace to trouble the batsman, Iftikhar swivels on the front foot and pulls it with a wrist roll backward of square, bisecting the two fielders in the deep comfortably",45.4
"Lahiru Kumara to Haris Sohail, 1 run, fifty for Sohail. Misbah knows the importance of this knock as he stands up and applauds. No celebration from Sohail as he just lifts his bat up to acknowledge. Low full toss outside off, Sohail eases it to sweeper cover",45.3
"Lahiru Kumara to Haris Sohail, 2 runs, tries to follow the left hander with a full delivery on the pads, flicked away to deep mid-wicket and the fielder does well to move across and stop the boundary",45.2
